,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
53,0.00021224021911621095,0.0004244804382324219,0.0007184028625488281,0.0014368057250976562,3,False,0.25,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 0.25}",-1254.989887649916,-916.6206753027379,-947.7225356538258,-827.0085648789557,-720.985291990544,-933.4653910951959,179.07867593290834,58
54,0.002071523666381836,0.0025373450044597306,0.0,0.0,3,False,1.0,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 1.0}",-1238.5934775306616,-908.7232166088363,-937.1535127121855,-803.1337245633416,-716.7046772189947,-920.861721726804,177.14751736589272,57
55,0.0016265392303466796,0.002986458296014931,0.0005465507507324219,0.0010229631531079018,3,False,2.5,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 2.5}",-1208.9910641741249,-895.142665665628,-917.4746946787421,-761.607835653935,-709.4368845174785,-898.5306289379818,173.9312124195154,54
56,0.0007087230682373047,0.0008775827651232884,0.0010302543640136718,0.0020605087280273437,3,False,5,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 5}",-1166.8535907362561,-877.1468189721061,-888.3970106385725,-706.3049896104808,-699.7771669324698,-867.6959153779771,169.85694371976575,50
57,0.0009244441986083985,0.001848888397216797,0.0010159969329833984,0.0020319938659667967,3,False,10.0,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 10.0}",-1100.5624921456051,-851.3862381125751,-841.0154387773812,-628.8947913956399,-685.0855161981931,-821.3888953258789,164.22882216767593,42
58,0.0020400524139404298,0.002498544333097398,0.0,0.0,3,False,20,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 20}",-1008.7177264518801,-819.462913656674,-774.2564721189708,-540.7921398226481,-662.8837179787165,-761.222594005778,156.8921776672556,37
59,0.0010293006896972656,0.002058601379394531,0.0,0.0,3,False,25,"{'poly__degree': 3, 'poly__interaction_only': False, 'ridge__alpha': 25}",-974.8778672734464,-808.586083112277,-749.8202183176992,-513.5713456499507,-653.4143033802802,-740.0539635467306,154.1006838589554,34
60,0.0022266864776611327,0.0033000442980917195,0.0014498710632324218,0.0018157035740052909,4,True,0.001,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 0.001}",-1210.796885548803,-715.214028960323,-2469.0921916939365,-788.5607987935135,-765.7241112871044,-1189.8776032567362,663.7913001389251,80
61,0.0003167629241943359,0.0006041647150395923,0.0016245365142822266,0.0020094504911322675,4,True,0.01,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 0.01}",-1210.7290736154596,-715.2191718903216,-2467.007081011251,-788.5557056113173,-765.6810310599668,-1189.4384126376633,662.9926313593652,79
62,0.0015765190124511718,0.0014301181300111106,0.0024283409118652345,0.0011903120701125323,4,True,0.1,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 0.1}",-1210.0554307845555,-715.2731209075156,-2446.3820834533094,-788.5086447894449,-765.267397096788,-1185.0973354063226,655.0933798072574,78
63,0.00045266151428222654,0.0009053230285644531,0.0020595550537109374,0.0017032757491045494,4,True,0.25,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 0.25}",-1208.950388683165,-715.3727491302025,-2412.8962480018363,-788.4446668991434,-764.6437293628405,-1178.0615564154375,642.2721211779968,77
64,0.002000904083251953,0.001141608891110381,0.0012883186340332032,0.0011807302695687587,4,True,1.0,"{'poly__degree': 4, 'poly__interaction_only': True, 'ridge__alpha': 1.0}",-1203.7298886385422,-716.0225822035663,-2260.504941690051,-788.322398132548,-762.5262492385292,-1146.2212119806475,584.0068021240286,76
